Framework,Objective_ID,Objective,Weight_or_priority,Lesson,Product,Evidence,Status,Confidence,Last_practised,Last_retested,Source_version,Notes
AB410,AB410-1.1.1,Analyze requirements to identify components and options for implementation,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.1.2,Evaluate built-in agents to include in the business solution,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.1.3,Recommend extensibility options,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.1.4,Recommend environment types,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.1.5,Apply a Microsoft Power Platform solution and ALM strategy,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.1,Create and edit tables in the data workspace,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.2,Create and modify standard tables,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.3,Configure table properties,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.4,Create and modify columns,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.5,Configure table relationships,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.6,Configure prompt columns,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.7,Configure row summaries,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.8,Configure public views,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.9,Configure main forms,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-1.2.10,Configure security,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.1.1,Create and configure forms for model-driven apps,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.1.2,Create and configure views for model-driven apps,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.1.3,Create generative pages by using natural language,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.1.4,Compose a model-driven app,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.1.5,Configure access to forms and views for model-driven apps,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.1.6,Configure access to model-driven apps,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.1.7,Create and configure model-driven app charts and dashboards,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.2.1,Create a canvas app using data,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.2.2,"Design apps for accessibility, performance, responsiveness, and usability",25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.2.3,Automate business processes from canvas apps,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.2.4,"Create reuseable components, including named formulas, user-defined functions, and component libraries",25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
